(4568.999735514323, 714.666748046875, 4568.999735514323, 774.6673583984375)
(4568.999735514323, 797.1669514973959, 4568.999735514323, 857.1665445963541)
(4568.999735514323, 879.6671549479166, 4568.999735514323, 939.666748046875)
(4486.5000406901045, 714.666748046875, 4486.5000406901045, 774.6673583984375)
(4486.5000406901045, 797.1669514973959, 4486.5000406901045, 857.1665445963541)
(4486.5000406901045, 879.6671549479166, 4486.5000406901045, 939.666748046875)
(4403.999837239583, 714.666748046875, 4403.999837239583, 774.6673583984375)
(4403.999837239583, 797.1669514973959, 4403.999837239583, 857.1665445963541)
(4403.999837239583, 879.6671549479166, 4403.999837239583, 939.666748046875)
(4403.999837239583, 714.666748046875, 4463.999938964844, 714.666748046875)
(4486.5000406901045, 714.666748046875, 4546.500142415364, 714.666748046875)
(4403.999837239583, 797.1669514973959, 4463.999938964844, 797.1669514973959)
(4486.5000406901045, 797.1669514973959, 4546.500142415364, 797.1669514973959)
(4403.999837239583, 879.6671549479166, 4463.999938964844, 879.6671549479166)
(4486.5000406901045, 879.6671549479166, 4546.500142415364, 879.6671549479166)
(4403.999837239583, 962.1673583984375, 4463.999938964844, 962.1673583984375)
(4486.5000406901045, 962.1673583984375, 4546.500142415364, 962.1673583984375)
(6453.499857584636, 518.1671142578125, 6453.499857584636, 2206.6670735677085)
(6321.999613444011, 518.1671142578125, 6321.999613444011, 2206.6670735677085)
(5803.999837239583, 518.1671142578125, 5803.999837239583, 2206.6670735677085)
(5284.5001220703125, 1110.1674397786458, 5284.5001220703125, 1103.6671956380208)
(5284.5001220703125, 1103.6671956380208, 5282.999674479167, 1113.1673177083333)
(5282.999674479167, 1113.1673177083333, 5284.5001220703125, 1110.1674397786458)
(5284.5001220703125, 1103.6671956380208, 5282.999674479167, 1113.1673177083333)
(5282.999674479167, 1113.1673177083333, 5282.999674479167, 1100.6673177083333)
(5282.999674479167, 1100.6673177083333, 5284.5001220703125, 1103.6671956380208)
(5282.999674479167, 1113.1673177083333, 5282.999674479167, 1100.6673177083333)
(5282.999674479167, 1100.6673177083333, 5280.999755859375, 1115.6667073567708)
(5280.999755859375, 1115.6667073567708, 5282.999674479167, 1113.1673177083333)
(5282.999674479167, 1100.6673177083333, 5280.999755859375, 1115.6667073567708)
(5280.999755859375, 1115.6667073567708, 5280.999755859375, 1098.1669108072917)
(5280.999755859375, 1098.1669108072917, 5282.999674479167, 1100.6673177083333)
(5280.999755859375, 1115.6667073567708, 5280.999755859375, 1098.1669108072917)
(5280.999755859375, 1098.1669108072917, 5278.499857584636, 1117.6666259765625)
(5278.499857584636, 1117.6666259765625, 5280.999755859375, 1115.6667073567708)
(5280.999755859375, 1098.1669108072917, 5278.499857584636, 1117.6666259765625)
(5278.499857584636, 1117.6666259765625, 5278.499857584636, 1096.1669921875)
(5278.499857584636, 1096.1669921875, 5280.999755859375, 1098.1669108072917)
(5278.499857584636, 1117.6666259765625, 5278.499857584636, 1096.1669921875)
(5278.499857584636, 1096.1669921875, 5275.499979654948, 1119.1670735677083)
(5275.499979654948, 1119.1670735677083, 5278.499857584636, 1117.6666259765625)
(5278.499857584636, 1096.1669921875, 5275.499979654948, 1119.1670735677083)
(5275.499979654948, 1119.1670735677083, 5275.499979654948, 1095.1670328776042)
(5275.499979654948, 1095.1670328776042, 5278.499857584636, 1096.1669921875)
(5275.499979654948, 1119.1670735677083, 5275.499979654948, 1095.1670328776042)
(5275.499979654948, 1095.1670328776042, 5272.0001220703125, 1119.6665445963542)
(5272.0001220703125, 1119.6665445963542, 5275.499979654948, 1119.1670735677083)
(5275.499979654948, 1095.1670328776042, 5272.0001220703125, 1119.6665445963542)
(5272.0001220703125, 1119.6665445963542, 5272.0001220703125, 1094.6665445963542)
(5272.0001220703125, 1094.6665445963542, 5275.499979654948, 1095.1670328776042)
(5272.0001220703125, 1119.6665445963542, 5272.0001220703125, 1094.6665445963542)
(5272.0001220703125, 1094.6665445963542, 5268.999735514323, 1119.1670735677083)
(5268.999735514323, 1119.1670735677083, 5272.0001220703125, 1119.6665445963542)
(5272.0001220703125, 1094.6665445963542, 5268.999735514323, 1119.1670735677083)
(5268.999735514323, 1119.1670735677083, 5268.999735514323, 1095.1670328776042)
(5268.999735514323, 1095.1670328776042, 5272.0001220703125, 1094.6665445963542)
(5268.999735514323, 1119.1670735677083, 5268.999735514323, 1095.1670328776042)
(5268.999735514323, 1095.1670328776042, 5265.999857584636, 1117.6666259765625)
(5265.999857584636, 1117.6666259765625, 5268.999735514323, 1119.1670735677083)
(5268.999735514323, 1095.1670328776042, 5265.999857584636, 1117.6666259765625)
(5265.999857584636, 1117.6666259765625, 5265.999857584636, 1096.1669921875)
(5265.999857584636, 1096.1669921875, 5268.999735514323, 1095.1670328776042)
(5265.999857584636, 1117.6666259765625, 5265.999857584636, 1096.1669921875)
(5265.999857584636, 1096.1669921875, 5263.4999593098955, 1115.6667073567708)
(5263.4999593098955, 1115.6667073567708, 5265.999857584636, 1117.6666259765625)
(5265.999857584636, 1096.1669921875, 5263.4999593098955, 1115.6667073567708)
(5263.4999593098955, 1115.6667073567708, 5263.4999593098955, 1098.1669108072917)
(5263.4999593098955, 1098.1669108072917, 5265.999857584636, 1096.1669921875)
(5263.4999593098955, 1115.6667073567708, 5263.4999593098955, 1098.1669108072917)
(5263.4999593098955, 1098.1669108072917, 5261.5000406901045, 1113.1673177083333)
(5261.5000406901045, 1113.1673177083333, 5263.4999593098955, 1115.6667073567708)
(5263.4999593098955, 1098.1669108072917, 5261.5000406901045, 1113.1673177083333)
